cid,nid,mac,manuf,iptype,ip
1,3,00:01:46:02:B1:3C,TescoCon,undefined,undefined
2,4,00:01:9F:08:4C:47,Readynet,undefined,undefined
3,5,00:01:9F:11:5A:39,Readynet,undefined,undefined
4,11,00:02:6F:44:7E:6A,SenaoInt,undefined,undefined
5,11,10:1F:74:E3:B6:A7,Hewlett-,undefined,undefined
6,11,A4:93:4C:6C:44:05,Cisco,undefined,undefined
7,12,00:02:6F:53:BF:88,SenaoInt,undefined,undefined
8,13,00:02:6F:54:89:EC,SenaoInt,undefined,undefined
9,14,00:02:6F:37:75:BF,SenaoInt,undefined,undefined
10,14,00:02:6F:58:5F:D5,SenaoInt,undefined,undefined
11,14,B4:B5:2F:E4:54:A8,HewlettP,undefined,undefined
12,15,00:02:6F:58:60:4B,SenaoInt,undefined,undefined
13,15,00:0A:CD:24:95:08,SunrichT,undefined,undefined
14,15,8C:84:01:95:66:F7,Private,undefined,undefined
15,16,00:02:6F:58:60:65,SenaoInt,undefined,undefined
16,17,00:02:6F:58:60:E9,SenaoInt,undefined,undefined
17,18,00:02:6F:5E:C3:E1,SenaoInt,undefined,undefined
18,20,00:00:24:C3:F1:BC,Olicom,UDP/TCP,172.20.1.156
19,20,00:02:6F:5F:13:D1,SenaoInt,undefined,undefined
20,20,48:43:7C:C8:A5:90,Unknown,UDP/TCP,172.20.1.156
21,20,50:1A:C5:16:FB:C6,Unknown,undefined,undefined
22,21,00:02:6F:5F:14:8D,SenaoInt,undefined,undefined
23,21,00:02:6F:E1:6F:DB,SenaoInt,undefined,undefined
24,21,40:78:6A:C9:D0:58,Unknown,undefined,undefined
25,22,00:02:6F:5F:14:9D,SenaoInt,undefined,undefined
26,24,00:02:6F:5F:14:95,SenaoInt,undefined,undefined
27,24,00:02:6F:61:79:CB,SenaoInt,undefined,undefined
28,24,4C:80:93:81:38:E1,IntelCor,undefined,undefined
29,25,00:02:6F:6E:89:78,SenaoInt,undefined,undefined
30,26,00:02:6F:79:6D:FF,SenaoInt,undefined,undefined
31,27,00:02:6F:7B:EE:28,SenaoInt,undefined,undefined
32,28,00:02:6F:8B:1B:BB,SenaoInt,undefined,undefined
33,28,04:18:D6:5A:55:CB,Ubiquiti,undefined,undefined
34,28,04:A1:51:D5:8F:79,Netgear,undefined,undefined
35,28,A4:1F:72:60:FF:F2,Dell,undefined,undefined
36,28,CC:AF:78:02:D8:15,HonHaiPr,undefined,undefined
37,28,D0:67:E5:10:BC:A6,Dell,ARP,192.168.1.2
38,29,00:02:6F:9C:2F:50,SenaoInt,undefined,undefined
39,29,00:40:B3:8C:05:3B,Partech,undefined,undefined
40,29,24:26:42:EC:28:F9,Unknown,undefined,undefined
41,30,00:02:6F:9F:EE:23,SenaoInt,undefined,undefined
42,31,00:02:6F:A1:E1:19,SenaoInt,undefined,undefined
43,31,00:02:6F:A1:E1:1B,SenaoInt,undefined,undefined
44,31,00:11:74:45:3C:8F,WibhuTec,undefined,undefined
45,31,00:21:86:25:99:BC,Universa,undefined,undefined
46,31,D0:57:4C:E0:2D:8C,Cisco,undefined,undefined
47,34,00:02:6F:AE:29:D8,SenaoInt,undefined,undefined
48,35,00:02:6F:B1:94:96,SenaoInt,undefined,undefined
49,36,00:02:6F:B9:54:B2,SenaoInt,undefined,undefined
50,36,00:15:6D:F4:A0:6F,Ubiquiti,undefined,undefined
51,36,00:25:90:30:18:C7,SuperMic,ARP,64.25.198.1
52,37,00:02:6F:C7:DA:95,SenaoInt,undefined,undefined
53,38,00:02:6F:CD:0B:C4,SenaoInt,undefined,undefined
54,38,F0:25:B7:44:9D:B2,Unknown,UDP/TCP,172.20.1.72
55,38,F0:25:B7:64:5D:F7,Unknown,UDP/TCP,172.20.1.75
56,39,00:02:6F:DB:0D:60,SenaoInt,undefined,undefined
57,40,00:02:6F:DB:0D:84,SenaoInt,undefined,undefined
